	State	Action
102	((3, 1), '2')	aT
103	((3, 1), '0')	2
104	((3, 2), 'sink')	0
105	((3, 2), '1')	0
106	((3, 2), '2')	aT
107	((3, 2), '0')	0
108	((3, 3), 'sink')	0
109	((3, 3), '1')	0
110	((3, 3), '2')	aT
111	((3, 3), '0')	0
112	((3, 4), 'sink')	0
113	((3, 4), '1')	0
114	((3, 4), '2')	aT
115	((3, 4), '0')	0
116	((3, 5), 'sink')	0
117	((3, 5), '1')	2
118	((3, 5), '2')	aT
119	((3, 5), '0')	2
120	((3, 6), 'sink')	0
121	((3, 6), '1')	0
122	((3, 6), '2')	aT
123	((3, 6), '0')	0
124	((3, 7), 'sink')	0
125	((3, 7), '1')	0
126	((3, 7), '2')	aT
127	((3, 7), '0')	0
128	((4, 0), 'sink')	0
129	((4, 0), '1')	3
130	((4, 0), '2')	aT
131	((4, 0), '0')	1
132	((4, 1), 'sink')	0
133	((4, 1), '1')	2
134	((4, 1), '2')	aT
135	((4, 1), '0')	2
136	((4, 2), 'sink')	0
137	((4, 2), '1')	0
138	((4, 2), '2')	aT
139	((4, 2), '0')	0
140	((4, 3), 'sink')	0
141	((4, 3), '1')	0
142	((4, 3), '2')	aT
143	((4, 3), '0')	0
144	((4, 4), 'sink')	0
145	((4, 4), '1')	0
146	((4, 4), '2')	aT
147	((4, 4), '0')	0
148	((4, 5), 'sink')	0
149	((4, 5), '1')	2
150	((4, 5), '2')	aT
151	((4, 5), '0')	2
152	((4, 6), 'sink')	0
153	((4, 6), '1')	0
154	((4, 6), '2')	aT
155	((4, 6), '0')	0
156	((4, 7), 'sink')	0
157	((4, 7), '1')	0
158	((4, 7), '2')	aT
159	((4, 7), '0')	0
160	((5, 0), 'sink')	0
161	((5, 0), '1')	3
162	((5, 0), '2')	aT
163	((5, 0), '0')	0
164	((5, 1), 'sink')	0
165	((5, 1), '1')	2
166	((5, 1), '2')	aT
167	((5, 1), '0')	0
168	((5, 2), 'sink')	0
169	((5, 2), '1')	2
170	((5, 2), '2')	aT
171	((5, 2), '0')	0
172	((5, 3), 'sink')	0
173	((5, 3), '1')	1
174	((5, 3), '2')	aT
175	((5, 3), '0')	0
176	((5, 4), 'sink')	0
177	((5, 4), '1')	2
178	((5, 4), '2')	aT
179	((5, 4), '0')	3
180	((5, 5), 'sink')	0
181	((5, 5), '1')	2
182	((5, 5), '2')	aT
183	((5, 5), '0')	3
184	((5, 6), 'sink')	0
185	((5, 6), '1')	2
186	((5, 6), '2')	aT
187	((5, 6), '0')	2
188	((5, 7), 'sink')	0
189	((5, 7), '1')	1
190	((5, 7), '2')	aT
191	((5, 7), '0')	1
192	((6, 0), 'sink')	0
193	((6, 0), '1')	3
194	((6, 0), '2')	aT
195	((6, 0), '0')	3
196	((6, 1), 'sink')	0
197	((6, 1), '1')	3
198	((6, 1), '2')	aT
199	((6, 1), '0')	3
200	((6, 2), 'sink')	0
201	((6, 2), '1')	3
202	((6, 2), '2')	aT
203	((6, 2), '0')	3
204	((6, 3), 'sink')	0
205	((6, 3), '1')	2
206	((6, 3), '2')	aT
207	((6, 3), '0')	3
208	((6, 4), 'sink')	0
209	((6, 4), '1')	0
210	((6, 4), '2')	aT
211	((6, 4), '0')	0
212	((6, 5), 'sink')	0
213	((6, 5), '1')	3
214	((6, 5), '2')	aT
215	((6, 5), '0')	3
216	((6, 6), 'sink')	0
217	((6, 6), '1')	2
218	((6, 6), '2')	aT
219	((6, 6), '0')	2
220	((6, 7), 'sink')	0
221	((6, 7), '1')	2
222	((6, 7), '2')	aT
223	((6, 7), '0')	2
224	((7, 0), 'sink')	0
225	((7, 0), '1')	2
226	((7, 0), '2')	aT
227	((7, 0), '0')	2
228	((7, 1), 'sink')	0
229	((7, 1), '1')	0
230	((7, 1), '2')	aT
231	((7, 1), '0')	0
232	((7, 2), 'sink')	0
233	((7, 2), '1')	0
234	((7, 2), '2')	aT
235	((7, 2), '0')	0
236	((7, 3), 'sink')	0
237	((7, 3), '1')	3
238	((7, 3), '2')	aT
239	((7, 3), '0')	3
240	((7, 4), 'sink')	0
241	((7, 4), '1')	0
242	((7, 4), '2')	aT
243	((7, 4), '0')	0
244	((7, 5), 'sink')	0
245	((7, 5), '1')	0
246	((7, 5), '2')	aT
247	((7, 5), '0')	0
248	((7, 6), 'sink')	0
249	((7, 6), '1')	3
250	((7, 6), '2')	aT
251	((7, 6), '0')	3
252	((7, 7), 'sink')	0
253	((7, 7), '1')	2
254	((7, 7), '2')	aT
255	((7, 7), '0')	3
256	('sT', 'sink')	0
257	('sT', '1')	0
258	('sT', '2')	aT
259	('sT', '0')	0
